index	center_x	center_y	area	snakeiterations
0	1002	125	12383	61
1	992	514	20962	72
2	938	1072	10969	69
3	918	905	18085	59
4	866	1186	969	7
5	952	1832	8418	29
6	828	1095	18831	62
7	973	312	28524	116
8	851	287	26737	106
9	747	122	18965	83
10	801	187	803	1
11	718	868	8286	23
12	683	1378	5717	81
13	902	702	18188	61
14	824	514	26182	111
15	731	299	19108	63
16	708	564	13635	49
17	662	1406	3912	51
18	686	1211	6603	11
19	846	1707	25075	58
20	736	1719	4777	17
21	854	1695	600	1
22	986	1195	13512	39
23	963	1337	30473	141
24	956	1545	16278	61
25	871	1497	6577	17
26	800	1590	13412	51
27	792	1289	13625	51
28	734	1478	27526	191
29	700	1504	16878	69
30	648	1658	15145	43
31	995	1356	2174	1
32	552	1684	2720	43
33	582	858	20707	87
34	729	1049	14315	41
35	627	1075	20060	61
36	548	1177	13921	49
37	602	457	9052	25
38	520	336	6657	13
39	625	1797	15104	46
40	495	1650	5145	6
41	518	1792	8994	112
42	479	1059	10086	32
43	466	744	11574	37
44	457	624	11831	42
45	766	722	23394	74
46	640	755	16871	57
47	587	610	25024	71
48	481	468	22604	67
49	454	895	19129	53
50	451	1742	17101	51
51	383	1019	7813	19
52	380	1823	9559	37
53	321	1166	5098	5
54	650	367	27269	59
55	602	143	27551	99
56	471	187	23196	73
57	387	339	26736	77
58	337	535	22313	74
59	325	189	14416	0
60	332	704	21791	80
61	317	198	15091	191
62	297	1029	15315	41
63	275	1730	8150	23
64	296	864	18627	61
65	250	1885	578	1
66	597	1337	16638	51
67	554	1497	5336	35
68	488	1370	17826	53
69	476	1551	15159	54
70	407	1439	10640	50
71	362	1647	15033	45
72	329	1512	16017	59
73	235	1610	15363	47
74	155	1678	12418	50
75	75	1723	15430	53
76	418	1169	18859	55
77	334	1266	11051	51
78	249	1313	10823	49
79	254	1174	4846	17
80	201	1040	17674	63
81	183	1374	6516	43
82	168	1182	15300	39
83	117	1277	12244	31
84	76	1386	12877	37
85	159	1807	5323	13
86	201	187	19053	88
87	95	536	23834	73
88	95	319	28158	83
