index	center_x	center_y	area	snakeiterations
0	1042	1151	890	8
1	1045	863	4451	19
2	1013	535	4283	11
3	968	1662	3217	5
4	955	1580	4380	7
5	983	661	15776	99
6	946	774	4615	6
7	970	1730	11543	36
8	971	1475	19980	79
9	964	147	20593	69
10	993	425	10528	27
11	910	551	16218	49
12	918	395	14303	47
13	938	1325	15089	45
14	866	1397	3999	15
15	858	122	4072	5
16	881	711	7604	26
17	1003	1112	7414	16
18	970	1045	5020	16
19	980	943	11963	59
20	927	1187	13282	60
21	891	1065	10065	40
22	829	1192	9702	50
23	822	1302	9905	29
24	839	322	14524	43
25	894	854	12937	48
26	813	793	10430	26
27	799	433	10636	37
28	1039	283	3410	17
29	981	275	6613	21
30	923	242	3304	17
31	812	232	11722	31
32	793	1528	16232	67
33	780	548	11967	45
34	768	144	12308	37
35	863	1616	9807	35
36	754	1654	6842	37
37	785	969	14991	43
38	745	1418	12119	46
39	726	486	3446	10
40	736	893	11027	29
41	776	672	16806	67
42	698	772	3674	12
43	706	278	7701	22
44	711	1110	14817	55
45	666	1003	569	1
46	666	1045	3796	9
47	667	547	6439	11
48	670	644	12419	51
49	679	399	16107	51
50	615	753	7376	25
51	632	853	13082	52
52	604	84	4614	3
53	621	1232	15555	66
54	564	1132	4940	15
55	594	982	16773	47
56	581	1522	16135	38
57	586	524	15140	46
58	533	1447	2465	7
59	533	916	2758	10
60	541	651	12128	43
61	618	1388	6856	16
62	536	1327	16079	55
63	517	849	7370	23
64	534	1717	11967	33
65	505	752	12415	41
66	467	1426	7219	19
67	449	1136	13059	48
68	450	323	15545	53
69	422	1816	13543	58
70	391	1723	3597	7
71	477	1641	16560	51
72	395	1606	7687	53
73	554	197	12133	83
74	473	166	14802	59
75	384	239	5989	10
76	406	446	13653	48
77	482	1526	3928	33
78	390	1495	12692	47
79	355	1152	4163	9
80	320	418	7586	19
81	314	1349	11102	41
82	414	1032	8394	19
83	368	923	14868	73
84	314	1071	13038	36
85	332	541	11522	34
86	315	174	4476	11
87	387	1258	15479	56
88	281	1215	10476	30
89	251	494	2742	13
90	274	660	11678	63
91	222	567	2881	11
92	230	380	12448	35
93	296	285	17317	51
94	208	172	15028	47
95	152	901	6314	13
96	159	479	18262	65
97	104	1615	3554	5
98	151	1002	18851	71
99	111	226	9318	33
100	179	1510	16199	51
101	173	1355	13284	50
102	99	1471	6062	16
103	117	1155	17874	57
104	82	155	2877	7
105	115	345	17218	58
106	53	1004	2037	22
107	65	87	5846	12
108	49	1091	3975	15
109	243	815	19462	93
110	144	761	15179	51
111	65	902	6778	17
112	228	1874	4002	13
113	193	1641	12521	39
114	190	1770	15862	47
115	94	1707	7778	19
