index	center_x	center_y	area	snakeiterations
0	1033	299	2391	6
1	1007	1167	1820	21
2	1019	1344	2258	8
3	1003	197	7137	16
4	961	1348	1779	13
5	950	257	7290	13
6	925	849	3073	9
7	964	1622	16974	55
8	903	1455	1281	12
9	911	1545	3984	10
10	974	464	12531	32
11	936	342	13891	40
12	899	912	4750	5
13	859	276	2050	13
14	943	998	14005	48
15	856	1029	3924	21
16	879	439	9192	26
17	855	104	4791	5
18	972	1741	4703	24
19	866	1769	16429	49
20	852	1254	9332	44
21	874	1132	14971	44
22	820	966	2666	13
23	834	1666	9068	43
24	838	193	13571	45
25	762	1752	4488	26
26	942	753	12526	33
27	820	813	17697	59
28	768	1213	7536	19
29	791	370	14566	40
30	752	1135	3574	6
31	769	926	11370	31
32	753	1036	13016	39
33	760	560	14713	55
34	751	117	15060	51
35	714	266	15539	59
36	696	889	8243	25
37	668	1449	1816	13
38	883	604	10683	37
39	727	675	16882	57
40	637	156	2257	6
41	639	1514	2288	8
42	633	1047	12136	43
43	675	1851	14370	70
44	611	1720	3314	9
45	602	1559	1363	3
46	649	1629	13910	48
47	645	521	14305	54
48	667	1368	15076	66
49	648	1184	15629	79
50	618	639	7889	19
51	588	957	5755	11
52	549	1131	3097	7
53	554	1780	5807	17
54	569	726	6812	17
55	505	694	4279	9
56	494	1341	1850	10
57	532	594	12290	46
58	544	51	11590	43
59	532	1426	18372	77
60	509	1709	10552	31
61	514	1038	15997	51
62	472	1816	3227	15
63	497	129	12185	50
64	613	239	7904	22
65	581	358	16580	53
66	489	241	16160	61
67	434	658	5734	15
68	529	861	14290	53
69	432	949	4402	19
70	419	1852	5616	17
71	422	1419	7271	21
72	434	1134	12413	43
73	391	1512	7893	35
74	394	173	6778	16
75	371	569	11480	43
76	424	359	10347	41
77	353	268	13287	43
78	354	1377	16509	65
79	285	1486	4919	12
80	366	769	23189	109
81	314	941	17714	77
82	269	181	10739	39
83	215	1874	2424	16
84	276	643	15442	50
85	242	560	5716	12
86	225	1023	4566	5
87	255	1557	9258	31
88	212	1448	13065	37
89	250	1763	13297	75
90	310	369	4505	19
91	231	318	14733	53
92	159	1565	2515	13
93	230	1135	16483	61
94	159	796	14435	67
95	128	540	13570	43
96	122	663	12003	47
97	158	104	15268	73
98	140	203	14570	53
99	109	1267	16610	75
100	85	1568	6695	15
101	86	296	11761	37
