index	center_x	center_y	area	snakeiterations
0	1035	1073	3371	14
1	1037	235	3102	9
2	1023	52	1856	6
3	998	708	3798	22
4	1006	385	14189	51
5	946	437	2574	38
6	968	1426	14468	62
7	972	114	13473	87
8	980	1556	18847	71
9	887	1481	2488	11
10	922	769	12490	46
11	863	1823	1824	9
12	914	243	17100	77
13	904	1707	18357	71
14	884	659	10695	45
15	896	1293	18577	64
16	913	1014	23488	104
17	849	1398	9026	41
18	829	271	5114	30
19	859	376	15706	80
20	819	1190	8418	35
21	830	1569	6523	26
22	786	1265	2258	12
23	792	903	3801	15
24	811	122	14956	53
25	758	211	2982	25
26	753	717	1980	33
27	777	794	9072	23
28	755	273	4206	18
29	757	1420	4865	11
30	756	1502	18154	86
31	693	134	5232	18
32	714	1336	16860	84
33	684	1826	7060	26
34	698	1088	18053	63
35	697	850	14906	75
36	674	1205	15470	63
37	703	586	16796	62
38	662	648	6513	19
39	701	321	18572	74
40	604	1084	3528	14
41	635	188	11389	49
42	629	431	12213	41
43	637	727	12737	80
44	967	915	14485	63
45	561	1014	2592	21
46	535	1333	3496	16
47	554	1725	15994	85
48	530	355	3721	12
49	504	1614	9279	32
50	528	906	16518	77
51	509	282	7984	30
52	489	1806	4730	21
53	487	171	11104	61
54	436	1723	11840	40
55	495	624	20010	117
56	425	1543	12436	47
57	456	1251	13689	75
58	394	1628	3955	16
59	389	1173	5309	24
60	430	1090	22134	109
61	770	1704	12621	71
62	355	1689	3389	16
63	341	710	1125	11
64	331	999	3427	29
65	418	532	11583	28
66	369	877	16110	65
67	349	219	6315	47
68	305	1107	10098	47
69	316	1472	14794	52
70	266	1182	2974	13
71	552	1435	11987	66
72	376	1300	23403	59
73	303	1578	8413	29
74	491	444	12943	77
75	294	395	2320	19
76	307	111	11853	96
77	269	1692	11195	52
78	264	898	13760	65
79	327	309	30584	137
80	372	317	770	1
81	217	1404	15478	69
82	222	1006	15834	97
83	178	1599	9398	45
84	338	1779	11051	39
85	132	689	8073	27
86	153	1124	12428	50
87	122	1500	6754	23
88	101	1385	7031	19
89	88	628	4414	11
90	135	1259	11530	71
91	36	1326	1366	16
92	43	1182	3020	28
93	27	1541	998	13
94	103	419	14116	75
