index	center_x	center_y	area	snakeiterations
0	1050	816	1848	16
1	1024	608	5205	10
2	997	143	9910	38
3	1003	524	7986	23
4	985	1213	6466	15
5	951	601	2792	19
6	996	417	10909	52
7	976	686	7562	23
8	969	1459	3313	13
9	955	1775	8275	35
10	970	1106	10942	39
11	972	999	12653	73
12	950	304	13348	49
13	931	1657	5277	11
14	898	1720	3205	9
15	969	1531	9891	37
16	896	1168	3235	9
17	882	965	2929	8
18	901	429	5822	14
19	890	1232	5028	17
20	883	1552	2946	16
21	900	553	6070	14
22	856	1783	4346	6
23	860	357	3462	9
24	868	641	12874	75
25	852	232	6487	24
26	842	1107	6564	17
27	839	467	10426	39
28	820	1879	3396	7
29	823	291	4370	17
30	821	1672	10552	41
31	831	1034	6335	27
32	789	375	3561	28
33	796	972	5897	10
34	844	1466	16954	57
35	770	586	3451	12
36	759	1438	4580	16
37	787	1579	13908	89
38	734	972	1551	8
39	781	698	11299	52
40	757	1766	9752	50
41	764	1388	1570	6
42	729	1654	5081	11
43	707	1502	2818	12
44	709	1086	495	1
45	699	466	3299	14
46	736	130	8390	30
47	702	1558	5959	104
48	715	1049	5760	15
49	742	1223	11912	40
50	741	1142	15052	59
51	732	297	11448	43
52	694	522	6691	13
53	668	1685	4074	9
54	705	397	12637	43
55	666	970	9742	31
56	660	653	11494	69
57	658	1415	7492	23
58	616	1215	3174	19
59	623	410	5922	16
60	613	91	2857	16
61	667	173	13700	68
62	618	1057	3785	10
63	583	638	2753	30
64	606	1145	4120	13
65	583	1390	850	4
66	644	1611	15737	83
67	571	576	2831	46
68	560	428	2741	10
69	582	498	8819	33
70	552	535	964	1
71	559	1582	9804	39
72	609	1756	14052	61
73	530	1407	5033	34
74	564	1489	12081	56
75	546	972	16942	93
76	546	972	16940	160
77	487	1875	3558	13
78	482	897	4051	16
79	476	1625	7473	21
80	476	1361	2931	38
81	502	650	15475	86
82	475	535	6763	32
83	439	1459	3680	11
84	505	1175	12489	73
85	439	1542	3907	14
86	477	1080	15811	63
87	402	621	3486	18
88	410	1870	5924	22
89	369	1398	1424	25
90	402	1305	14265	50
91	389	1637	10168	31
92	370	1455	5269	16
93	354	969	4023	20
94	371	536	7255	26
95	351	736	4363	17
96	394	904	15275	63
97	342	1059	10577	37
98	333	1566	7369	19
99	293	1629	3041	23
100	315	80	9524	50
101	288	1742	4678	18
102	286	1266	5227	14
103	263	885	4046	33
104	269	1342	9272	30
105	287	580	11461	37
106	254	979	8479	33
107	246	1855	4710	9
108	250	693	14637	103
109	274	1493	11109	45
110	193	1249	2298	7
111	235	1148	17340	69
112	176	738	3903	12
113	191	1701	7972	21
114	165	1312	3919	20
115	201	1563	7265	18
116	189	154	12899	59
117	113	1881	814	6
118	160	334	6409	18
119	121	111	4634	11
120	151	892	10535	53
121	152	1809	10658	36
122	86	276	1909	13
123	128	626	12730	68
124	118	1397	12093	57
125	45	1811	1811	35
126	66	347	6525	21
127	68	697	11923	53
128	49	1325	4806	11
129	78	1676	10229	48
130	83	1243	10277	42
131	121	1472	8037	50
132	163	1045	2858	17
