index	center_x	center_y	area	snakeiterations
0	1013	166	6431	26
1	1008	1460	6386	26
2	977	747	11450	66
3	985	1309	18613	63
4	980	1103	14482	62
5	978	310	20883	71
6	965	917	21866	108
7	928	109	17794	72
8	899	1564	17829	95
9	893	506	3393	13
10	907	1725	18200	73
11	946	460	4615	47
12	894	435	13522	71
13	874	221	14729	72
14	892	600	21497	110
15	877	1006	20446	83
16	819	1592	4555	18
17	853	750	22665	90
18	791	1730	8658	22
19	816	1431	19319	76
20	789	253	6565	20
21	767	638	8701	54
22	774	399	15775	65
23	779	888	17982	63
24	773	98	17259	64
25	726	1573	20652	76
26	710	516	17755	79
27	657	776	775	1
28	704	736	19659	59
29	659	1238	6047	14
30	673	1383	19051	66
31	663	335	13859	49
32	634	1618	7801	25
33	670	1722	15526	55
34	679	208	17675	64
35	599	811	21182	88
36	597	141	12056	52
37	581	1506	17035	75
38	564	1333	15438	60
39	576	524	20980	69
40	562	362	20845	71
41	508	1209	9288	51
42	507	1213	510	1
43	525	1638	15629	53
44	509	689	11347	49
45	480	544	5657	22
46	462	1496	11806	58
47	621	52	11873	33
48	477	73	12072	33
49	453	400	10845	35
50	469	832	19188	81
51	467	172	13934	47
52	432	272	15545	57
53	444	1334	19544	89
54	382	772	9497	33
55	396	484	11135	71
56	366	1216	15950	87
57	365	1756	13429	52
58	366	645	21103	85
59	373	1573	17380	94
60	309	246	16481	85
61	310	396	17112	64
62	311	1420	20067	78
63	241	1528	5226	13
64	317	120	13953	98
65	259	1258	17749	88
66	275	825	23230	108
67	279	1088	21831	107
68	230	605	17772	87
69	206	242	16449	53
70	198	731	10016	69
71	190	405	13823	69
72	176	1362	20054	90
73	116	1883	1082	11
74	149	1516	12925	47
75	248	1724	13046	70
76	143	1124	21695	79
77	109	244	13984	47
78	78	1410	4801	14
79	109	818	21039	102
80	101	604	18319	63
81	136	1705	19206	123
82	71	1261	17790	77
83	58	1806	7933	47
84	754	1272	19971	112
85	596	1139	18832	81
86	448	1103	16607	71
