index	center_x	center_y	area	snakeiterations
0	1033	1591	3697	13
1	1008	935	8598	23
2	977	1855	1951	18
3	1005	176	13622	60
4	988	1727	12494	64
5	969	1195	5501	12
6	955	1622	4555	15
7	986	816	15291	69
8	945	1543	3281	12
9	973	382	16363	85
10	933	158	4827	7
11	940	279	8491	28
12	924	975	8654	29
13	903	1719	10699	39
14	921	1453	12367	45
15	903	1834	7336	23
16	912	1107	18256	97
17	873	512	7337	27
18	858	618	4415	8
19	992	1295	14476	60
20	883	1256	12673	55
21	860	1395	8319	44
22	859	1579	12407	49
23	860	338	16459	55
24	825	1839	4512	5
25	861	842	20590	105
26	843	167	18788	91
27	807	1713	15883	73
28	753	207	5294	13
29	750	1040	4034	23
30	768	919	7786	83
31	768	575	15493	52
32	741	1824	8191	45
33	736	321	10487	23
34	709	1137	2675	7
35	725	105	12703	71
36	670	421	2513	5
37	687	991	9223	40
38	702	1538	16967	66
39	702	1416	13968	63
40	646	1781	4853	15
41	655	1101	9071	43
42	661	268	16945	55
43	782	712	15674	53
44	663	759	19749	82
45	660	1668	14917	95
46	595	1181	4051	9
47	598	1519	4372	11
48	604	871	9499	30
49	771	437	20445	84
50	614	459	18000	58
51	556	1464	6060	15
52	573	1611	7807	33
53	668	612	9155	29
54	576	624	16732	53
55	545	747	4931	9
56	693	1237	16922	67
57	559	1272	11775	47
58	550	1745	15527	50
59	570	1034	20407	80
60	500	885	20825	71
61	624	1363	15934	67
62	472	1450	19036	75
63	439	94	5939	37
64	462	1619	15195	51
65	437	1300	13986	49
66	371	1618	2060	11
67	414	1760	10515	27
68	368	495	5012	9
69	369	1471	18469	73
70	341	1713	11607	30
71	305	1820	1910	17
72	305	1568	9332	26
73	322	624	16710	57
74	277	205	2647	10
75	250	1807	6859	18
76	211	1096	5223	17
77	240	1679	16762	52
78	206	547	6803	23
79	243	363	13894	61
80	215	730	13084	35
81	310	791	16197	65
82	295	951	8007	23
83	211	888	15957	80
84	264	845	613	1
85	171	1803	7601	24
86	375	243	14963	65
87	216	274	19341	64
88	127	377	4749	10
89	116	1884	1202	42
90	156	1345	10392	28
91	152	182	12259	45
92	116	1047	2684	19
93	122	849	11796	41
94	192	1211	15782	48
95	107	1142	14985	40
96	56	1086	2724	9
97	292	94	755	1
98	60	903	3092	15
99	95	1293	5459	22
100	111	1440	9016	40
101	486	1153	18626	70
102	244	450	20108	111
103	140	580	9376	23
104	80	654	15509	51
105	64	320	14219	68
