index	center_x	center_y	area	snakeiterations
0	1029	996	2315	8
1	1011	646	1955	12
2	1010	1584	5176	7
3	1013	1499	6710	25
4	991	472	3418	25
5	958	832	1686	9
6	948	1683	1613	12
7	985	1774	7651	13
8	976	261	9049	24
9	942	357	1695	16
10	928	954	1381	11
11	961	893	8191	15
12	959	600	8178	17
13	910	1418	1120	9
14	894	1813	1278	6
15	905	396	4435	6
16	894	239	3763	11
17	1033	1845	5185	15
18	899	790	5653	9
19	872	450	3381	7
20	1023	1142	7240	33
21	971	1047	8834	21
22	940	1123	3648	14
23	950	1197	7462	36
24	908	1272	9690	39
25	875	1356	6635	17
26	860	923	3741	13
27	869	856	6154	13
28	871	722	4382	35
29	861	662	7796	31
30	970	182	4221	16
31	958	104	8950	32
32	867	172	8750	26
33	903	1602	6144	24
34	885	1482	7326	23
35	889	1684	6808	17
36	837	1558	4973	11
37	856	999	8408	32
38	816	1469	3826	33
39	829	1403	4368	8
40	824	1828	3753	5
41	829	1764	6175	11
42	795	1322	3845	5
43	822	288	8945	27
44	826	1163	8881	21
45	771	1200	1690	15
46	779	82	6692	26
47	762	881	2336	10
48	793	787	9365	33
49	737	1588	1454	7
50	836	509	5173	23
51	807	360	8982	43
52	773	427	9796	40
53	757	1677	4181	8
54	724	683	2062	13
55	738	1821	2244	11
56	763	1257	8146	16
57	727	920	2816	10
58	730	1864	4030	7
59	727	979	5580	9
60	706	1427	1430	6
61	707	1638	4007	8
62	707	1514	7556	24
63	684	1365	4708	6
64	691	1052	9039	39
65	676	1129	6196	15
66	665	1683	2968	11
67	681	518	10309	35
68	639	1387	1930	10
69	693	833	6619	20
70	629	885	8431	23
71	631	976	6924	15
72	677	600	14524	55
73	620	1591	5700	15
74	607	1240	2608	31
75	562	208	2378	13
76	599	301	8056	15
77	555	496	2181	5
78	648	1468	4379	16
79	587	1327	7327	18
80	578	1419	8074	19
81	700	1770	7916	27
82	599	1841	15603	52
83	575	1648	8916	24
84	569	1737	9347	26
85	554	1089	6550	17
86	553	680	5746	22
87	516	1569	2847	19
88	542	1496	7942	26
89	638	729	7632	21
90	630	657	4260	19
91	537	756	7156	29
92	498	945	1688	28
93	527	803	2527	72
94	485	1366	2068	23
95	489	1275	4103	17
96	499	55	3874	8
97	481	1438	2960	12
98	485	569	4653	5
99	607	121	17863	53
100	491	153	13369	80
101	626	124	514	1
102	592	373	6657	12
103	512	388	15958	42
104	486	266	9048	35
105	435	633	7493	17
106	554	1176	8017	24
107	435	1211	8483	22
108	449	1759	4843	10
109	432	1662	10940	41
110	411	1560	5694	11
111	409	475	3791	11
112	412	532	7794	19
113	402	1317	7922	35
114	450	885	8354	26
115	395	939	6717	12
116	402	1488	7740	19
117	356	779	3144	13
118	474	999	5840	15
119	407	1062	16081	169
120	383	1023	8383	37
121	368	1386	7451	17
122	364	419	9472	33
123	321	1761	4937	9
124	321	120	2827	5
125	300	1232	2721	13
126	318	841	8943	23
127	323	314	14686	41
128	275	1075	2849	9
129	288	226	3550	13
130	288	1150	6754	11
131	367	1650	1953	11
132	301	1550	15574	45
133	240	1736	2398	9
134	223	869	1343	7
135	250	1681	8533	25
136	238	939	7102	21
137	225	803	7843	37
138	192	1825	2978	15
139	207	1167	6147	23
140	321	711	8039	30
141	287	594	8201	60
142	218	682	15449	73
143	218	1236	6730	31
144	187	589	5175	16
145	183	1056	14920	67
146	144	1639	1941	10
147	270	1808	7768	39
148	164	1749	7781	39
149	139	560	3461	13
150	120	1885	1707	25
151	144	860	2624	9
152	143	784	5713	18
153	140	953	5584	18
154	92	815	2014	9
155	235	1330	13456	71
156	177	1344	24657	145
157	69	860	1586	15
158	188	491	16254	169
159	150	389	7612	31
160	157	436	20089	143
161	69	1080	7389	27
162	296	167	6699	25
163	161	317	6020	44
164	83	328	3326	23
165	48	389	6433	31
166	128	265	796	1
167	106	133	536	1
168	102	201	539	1
169	145	1589	3785	16
170	94	1176	9025	25
