index	center_x	center_y	area	snakeiterations
0	1025	360	5003	11
1	1005	616	2749	11
2	939	1019	6978	131
3	965	395	3411	15
4	959	859	1041	21
5	976	707	10838	35
6	998	1465	10761	59
7	951	812	4488	30
8	920	1045	4356	90
9	904	756	1389	21
10	927	571	6938	18
11	887	1126	19942	0
12	897	1499	5464	18
13	857	1439	5202	31
14	750	1364	31856	0
15	969	1183	12633	68
16	881	1277	18092	53
17	811	1642	5899	19
18	821	1071	15950	59
19	771	799	3561	13
20	803	1847	12507	36
21	888	932	16241	54
22	841	922	1344	1
23	759	1559	6425	17
24	763	1469	7290	31
25	744	1147	6519	29
26	725	873	1254	11
27	683	1131	963	10
28	715	1604	3386	10
29	794	1712	5671	37
30	700	1773	8593	33
31	690	1665	7741	39
32	691	830	5741	14
33	690	1048	9531	38
34	663	938	11884	36
35	628	867	1275	16
36	659	762	8442	29
37	629	1554	7866	37
38	587	1862	1896	14
39	572	913	4222	17
40	609	1199	20669	75
41	603	1625	1954	37
42	579	1736	14466	47
43	522	326	3433	22
44	561	805	10695	28
45	449	821	8048	0
46	537	1595	5253	24
47	591	1332	44390	0
48	546	1070	12507	62
49	529	682	10987	37
50	484	768	1194	18
51	841	693	12870	74
52	685	621	26666	105
53	536	505	7278	35
54	727	655	2025	1
55	456	310	5898	19
56	470	1159	6424	15
57	445	1062	5777	17
58	477	1499	14387	61
59	457	1718	16018	46
60	472	925	16174	77
61	381	1006	3712	27
62	390	1836	6817	38
63	445	587	2942	23
64	374	529	5632	15
65	898	200	22521	104
66	800	324	7099	42
67	754	232	9749	41
68	718	393	12846	38
69	649	225	14328	75
70	604	379	13409	82
71	473	407	12337	45
72	498	67	1831	1
73	338	1808	1150	8
74	346	1480	6332	16
75	358	1264	14705	43
76	316	1752	5314	11
77	314	1350	5523	22
78	311	960	3484	9
79	281	1192	3472	11
80	293	1870	1429	7
81	248	1826	8315	28
82	244	804	21626	110
83	214	1169	4973	7
84	222	1274	11989	35
85	145	1006	14520	0
86	154	612	2468	9
87	336	1101	15917	47
88	170	1010	21754	0
89	150	1126	6894	17
90	133	1267	5282	29
91	148	790	6087	22
92	147	689	13496	54
93	112	1599	6048	23
94	90	1043	4383	17
95	154	1021	15868	0
96	94	137	14679	63
97	390	812	24314	187
98	382	821	19966	0
99	367	637	21204	63
100	315	438	10414	49
101	233	514	14385	49
102	189	320	16357	51
103	138	234	3480	10
104	132	417	11373	46
105	75	299	7576	67
106	390	812	24156	0
107	222	439	486	1
108	65	571	9656	33
109	980	1379	10310	28
110	931	1632	15513	39
111	911	1805	8158	41
112	918	1741	8885	25
113	843	1553	6206	17
114	719	1378	46192	0
115	696	1373	45406	0
116	745	1313	52991	0
117	769	1796	8675	0
118	654	1399	57380	0
119	660	1311	65008	0
120	583	1483	29914	0
121	543	1295	29400	0
122	377	1575	4788	27
123	245	1474	4627	35
124	265	1639	40504	0
125	130	1696	10211	52
126	776	1213	16452	0
127	542	1294	29047	0
128	133	1461	20837	73
129	59	1103	6543	21
130	453	1369	17451	109
