index	center_x	center_y	area	snakeiterations
0	990	704	6609	14
1	1029	555	530	1
2	981	297	7265	22
3	891	1459	2328	47
4	1008	932	12716	55
5	941	848	14313	57
6	929	362	12883	53
7	872	159	1239	11
8	908	573	16186	71
9	896	705	12205	54
10	864	450	12224	74
11	821	1416	1080	17
12	813	337	11596	49
13	770	511	13540	59
14	732	1450	699	7
15	940	1600	35719	115
16	1001	1588	822	1
17	780	648	13754	51
18	774	891	11248	33
19	693	533	5386	17
20	851	808	9273	27
21	746	772	15261	65
22	652	583	7840	21
23	725	1072	3880	11
24	719	975	13322	41
25	643	1103	6704	13
26	650	151	13711	53
27	664	182	948	1
28	707	393	14660	60
29	614	451	11667	44
30	620	911	14764	59
31	477	1447	1660	25
32	508	1310	8072	17
33	513	990	14670	58
34	442	729	2618	51
35	433	1433	1363	21
36	500	442	13225	63
37	435	541	11929	47
38	639	684	7421	41
39	546	602	18915	77
40	522	845	14607	47
41	447	658	8376	25
42	362	268	14237	44
43	320	494	8482	25
44	271	685	996	13
45	255	191	16549	47
46	332	605	16207	103
47	206	572	12983	61
48	125	1502	2002	46
49	156	1119	7081	20
50	115	252	12404	47
51	90	472	15889	60
52	809	1745	14502	45
53	700	1659	23840	129
54	433	1767	16653	57
55	405	1598	59046	155
56	300	1385	21076	111
57	131	1359	5355	79
58	95	1823	4099	29
59	124	1630	21983	69
60	96	1432	11704	49
61	708	1657	602	1
62	624	1665	2587	1
63	618	1601	1554	1
64	600	1852	478	1
65	494	1625	1677	1
66	321	1653	723	1
67	303	1374	602	1
68	346	1571	2319	1
69	177	1206	1148	23
70	66	1636	1942	1
71	38	1117	640	1
72	881	1267	21930	193
73	829	1040	13510	51
74	765	1115	1974	14
75	699	1161	3321	32
76	660	1318	13198	127
77	616	1205	10936	76
78	562	1124	4481	20
79	407	955	11472	68
80	400	1147	28615	152
81	314	886	30251	101
82	158	798	7870	77
83	140	1029	5469	45
84	1000	1122	1386	1
85	957	1328	679	1
86	912	1162	729	1
87	809	1261	761	1
88	793	1302	3801	1
89	629	1354	659	1
90	338	1148	485	1
91	385	1104	3253	5
92	246	1057	1035	5
93	294	835	2841	1
94	234	332	16039	102
95	129	340	825	1
96	540	191	13115	53
97	442	167	12422	45
98	347	94	16144	93
99	190	100	11582	45
100	477	96	482	1
101	236	49	1445	1
