index	center_x	center_y	area	snakeiterations
0	1003	757	8973	32
1	977	1818	10684	45
2	947	879	11747	33
3	903	781	10699	47
4	914	592	15090	43
5	910	689	10834	39
6	883	481	9571	29
7	834	1764	2706	9
8	997	953	11216	39
9	825	1003	11296	47
10	801	892	8713	29
11	929	1208	8461	35
12	905	1103	10617	80
13	822	1099	4110	26
14	797	1178	9418	33
15	730	1069	11260	41
16	973	1373	13077	53
17	943	1508	8457	38
18	905	1297	8089	17
19	844	1320	3842	12
20	860	1409	11597	53
21	774	1282	13107	49
22	695	1224	7203	25
23	678	696	12387	52
24	624	1532	8247	25
25	635	1132	10965	49
26	752	1812	28093	75
27	728	1653	19638	75
28	622	1695	11333	55
29	798	1878	688	1
30	733	1790	992	1
31	754	783	12716	43
32	753	617	11977	37
33	628	788	13142	47
34	614	791	530	1
35	719	928	10927	37
36	621	1026	9572	45
37	593	887	14291	61
38	537	1815	2685	14
39	559	1583	7819	28
40	555	1447	10666	53
41	525	736	10665	29
42	526	977	9535	39
43	520	635	8170	23
44	313	934	5750	15
45	355	1251	14446	63
46	329	1146	13320	70
47	281	1561	3992	14
48	254	796	16680	55
49	142	1385	3130	11
50	153	798	11553	37
51	165	670	4943	19
52	80	707	13826	43
53	420	1377	12582	85
54	346	1477	24630	97
55	325	1337	6398	29
56	318	1010	2472	13
57	274	1070	12435	55
58	213	1345	11373	71
59	201	1684	37657	171
60	140	1076	15566	98
61	419	1642	668	1
62	373	1466	1239	1
63	280	1874	562	1
64	238	1419	512	1
65	178	1496	603	1
66	98	1150	1703	1
67	66	1446	442	1
68	252	1731	3344	5
69	32	1266	716	1
70	202	929	15273	73
71	82	885	14754	75
72	45	949	745	1
73	52	589	6400	13
74	768	509	9677	53
75	871	188	34804	149
76	612	74	8356	59
77	654	385	36084	179
78	480	218	28381	129
79	474	868	10576	45
80	433	739	12864	47
81	434	88	21848	97
82	397	587	10394	29
83	344	365	9510	53
84	321	466	17772	51
85	267	166	26888	153
86	122	547	13745	43
87	63	421	12407	61
88	1019	230	710	1
89	855	228	484	1
90	821	143	2444	1
91	725	469	935	1
92	693	68	1028	1
93	676	169	1145	1
94	638	307	654	1
95	694	303	3099	1
96	624	530	822	1
97	643	409	1893	1
98	603	464	1140	1
99	494	456	1247	1
100	487	153	1114	1
101	452	41	543	1
102	431	279	696	1
103	299	229	501	1
104	267	100	848	1
105	203	198	656	1
106	107	380	31296	0
107	68	317	473	1
