index	center_x	center_y	area	snakeiterations
0	1002	125	12388	29
1	1009	1416	12240	16
2	992	514	20960	19
3	952	1832	8410	17
4	973	312	28509	21
5	986	1195	13517	17
6	938	1072	10966	12
7	955	1546	16343	16
8	929	1281	17509	21
9	894	1659	10499	15
10	902	702	18195	19
11	918	905	18080	17
12	889	1383	9155	17
13	871	1497	6689	13
14	851	287	26735	14
15	828	1095	18819	13
16	946	1717	576	7
17	996	1658	2270	28
18	989	1737	820	22
19	988	1747	373	29
20	999	1744	34	2
21	994	1751	968	35
22	1022	1619	513	32
23	1012	1624	1252	64
24	1016	1621	853	35
25	1022	1612	875	40
26	809	1742	14153	13
27	824	514	26182	27
28	792	1435	9897	15
29	800	1590	13407	19
30	792	1289	13798	13
31	736	1719	4778	13
32	766	722	23390	17
33	747	122	18918	17
34	729	1049	14304	17
35	718	868	8287	15
36	731	299	19108	23
37	708	564	13645	18
38	686	1211	6592	16
39	700	1503	17139	16
40	628	1237	318	6
41	641	1251	212	7
42	704	1287	4552	37
43	747	1177	657	14
44	748	1205	602	10
45	657	1759	5657	8
46	648	1658	15140	15
47	606	1822	9061	13
48	602	457	9053	17
49	650	367	27269	19
50	627	1075	20059	13
51	592	1549	5623	24
52	555	1615	279	18
53	664	1403	4986	21
54	597	1337	16897	13
55	640	755	16867	20
56	550	1698	3660	15
57	554	1497	5347	14
58	587	610	25095	35
59	582	858	20760	26
60	548	1177	13921	20
61	604	139	29008	41
62	520	336	6657	13
63	486	1838	2897	10
64	495	1650	5144	11
65	478	1057	10403	15
66	465	743	11890	19
67	476	1552	15152	21
68	457	624	11831	24
69	481	468	22605	22
70	488	1370	17821	19
71	417	183	38515	0
72	453	895	19361	23
73	451	1742	17101	17
74	408	1437	11286	15
75	418	1169	18861	19
76	383	1019	7812	13
77	380	1823	9619	10
78	386	338	27165	37
79	363	1647	15035	20
80	321	1166	5087	9
81	337	535	22317	23
82	334	1266	11053	15
83	332	704	21792	21
84	329	1512	16017	32
85	297	1029	15336	18
86	275	1730	8151	11
87	254	1174	4840	11
88	296	864	18621	27
89	249	1312	10910	16
90	235	1610	15374	18
91	183	1374	6516	11
92	201	1040	17673	23
93	201	187	19059	27
94	159	1807	5323	17
95	168	1182	15296	19
96	155	1678	12421	11
97	117	1277	12229	17
98	95	537	23919	23
99	76	1386	12877	19
100	75	1723	15425	21
101	95	319	28156	20
