index	center_x	center_y	area	snakeiterations
0	997	1825	10243	12
1	1009	1060	14900	21
2	984	912	13910	17
3	984	625	16462	30
4	973	742	9548	15
5	953	1425	4436	13
6	948	1281	12731	21
7	939	250	11774	17
8	951	1660	13002	19
9	937	1536	16180	19
10	911	994	8454	17
11	921	395	16705	17
12	896	818	17543	15
13	875	1773	14919	21
14	891	1115	17748	21
15	868	573	19866	19
16	839	368	11085	13
17	860	1351	13963	15
18	835	1595	10053	11
19	844	1227	13022	21
20	811	1712	9452	14
21	837	174	18998	17
22	829	1467	13181	17
23	821	946	11341	19
24	802	681	13626	19
25	785	810	15470	13
26	768	479	13409	27
27	760	1136	10299	20
28	753	314	16286	15
29	749	1313	8812	15
30	736	1427	9494	15
31	744	1019	16565	23
32	736	105	14351	8
33	719	1700	14266	16
34	719	1566	17256	19
35	700	583	19817	23
36	691	1226	14354	17
37	695	881	15192	19
38	656	408	15231	19
39	635	987	5112	11
40	661	215	17181	21
41	660	724	15377	17
42	634	1101	15335	23
43	640	1396	16072	31
44	621	1519	9864	23
45	576	1222	12125	15
46	582	582	16345	25
47	573	292	12947	15
48	571	125	15040	21
49	569	815	18376	23
50	526	689	9898	15
51	536	434	19824	21
52	509	1636	13440	17
53	495	1172	4691	12
54	529	1775	18217	26
55	533	1378	15077	19
56	519	1050	19292	21
57	507	925	18110	23
58	431	1646	5122	19
59	418	1750	8310	18
60	428	290	10282	23
61	460	192	16437	17
62	458	1265	15485	19
63	438	574	18615	19
64	405	844	9549	19
65	420	730	18898	17
66	425	406	16502	20
67	402	1157	15628	15
68	406	1491	17470	19
69	359	1584	12650	33
70	343	615	6433	19
71	364	1045	12592	17
72	335	459	11451	15
73	332	1753	18274	22
74	345	931	15101	22
75	321	282	14651	15
76	279	1151	15789	19
77	273	679	15865	23
78	270	822	18231	19
79	254	1588	16826	49
80	254	1588	16832	163
81	248	1317	13220	23
82	237	998	17096	15
83	240	1480	9872	12
84	234	365	15757	16
85	238	536	20193	25
86	221	1735	16263	21
87	169	729	19331	21
88	177	88	13396	24
89	155	1108	11753	14
90	141	1794	8432	15
91	143	434	12863	19
92	136	959	17038	15
93	84	1835	1108	17
94	128	1573	14005	19
95	118	1370	16387	21
96	108	1255	11769	18
97	72	164	12888	18
98	87	1707	15238	17
