index	center_x	center_y	area	snakeiterations
0	1011	116	5917	28
1	1006	1777	2373	13
2	1020	693	12288	23
3	998	833	5394	23
4	988	967	3968	19
5	1000	450	12347	17
6	969	1628	2902	13
7	995	1364	10689	106
8	975	1348	41	1
9	1014	1326	3543	89
10	1014	1326	3543	71
11	1014	1326	3529	59
12	1015	1326	3499	61
13	944	1455	5520	23
14	944	1571	5625	33
15	971	1254	15159	38
16	938	886	7440	19
17	936	1708	9585	15
18	918	636	4055	22
19	905	1516	2334	23
20	923	393	10966	19
21	926	749	14812	20
22	908	162	8296	62
23	899	1362	3156	22
24	964	1070	14497	17
25	906	1187	7757	51
26	875	917	1619	21
27	889	1825	7021	30
28	904	285	13865	22
29	852	1777	1456	9
30	854	622	2996	9
31	868	520	15377	21
32	873	989	15090	17
33	833	398	5247	13
34	847	843	8925	15
35	836	1560	12667	66
36	823	191	13746	22
37	841	1432	13817	14
38	804	319	3078	13
39	838	1681	13348	23
40	800	1109	677	14
41	817	1074	1923	25
42	789	1353	3250	12
43	785	533	2774	16
44	818	722	12348	10
45	819	1269	13189	31
46	761	1027	9588	15
47	749	111	6297	44
48	757	44	4681	58
49	756	873	16408	17
50	757	632	12141	27
51	752	434	11782	17
52	769	1165	15671	21
53	708	1467	3697	21
54	733	224	11900	23
55	698	986	3706	18
56	704	536	9527	26
57	677	812	3715	23
58	700	341	11804	25
59	692	1583	11150	35
60	678	717	13403	21
61	680	1365	11657	33
62	653	162	8257	17
63	634	436	7978	13
64	652	1086	12632	29
65	621	1542	8495	20
66	599	837	2875	14
67	619	580	13023	25
68	619	1285	11483	14
69	605	999	6621	24
70	595	1205	4063	32
71	637	905	13400	20
72	610	284	14268	21
73	589	677	3481	13
74	599	1445	12040	25
75	549	1382	2743	25
76	554	192	5917	19
77	562	108	5494	11
78	527	1308	6274	11
79	559	756	12673	30
80	513	1808	6503	19
81	512	1189	13733	31
82	515	1018	15093	19
83	519	573	13499	29
84	505	867	13993	21
85	525	440	14596	19
86	501	330	13073	23
87	454	516	3411	13
88	464	710	14125	23
89	450	1851	9588	17
90	418	411	3321	15
91	447	100	13756	23
92	452	234	13532	33
93	413	610	7852	19
94	422	1669	11711	27
95	366	182	7971	15
96	371	505	13262	29
97	376	1779	13925	23
98	348	75	7821	23
99	354	1294	11132	41
100	335	1386	3226	16
101	333	865	2160	40
102	346	876	764	34
103	330	415	5953	28
104	346	323	15844	21
105	315	992	13149	18
106	272	1086	4321	14
107	291	775	14309	32
108	282	227	9256	15
109	261	1404	3247	11
110	279	1196	11661	17
111	278	1485	14802	23
112	257	104	12174	23
113	211	1117	3849	17
114	227	919	9090	45
115	210	616	2683	10
116	205	1566	6588	24
117	187	445	3978	12
118	173	1437	10012	16
119	218	1334	12819	18
120	186	1245	12433	20
121	141	919	3020	15
122	146	1142	7347	17
123	176	1027	13264	21
124	182	556	13750	17
125	185	677	15015	31
126	120	1561	3769	22
127	107	401	2410	24
128	122	483	7704	15
129	96	239	5643	55
130	128	335	13295	27
131	57	381	1555	15
132	75	744	7480	15
133	51	430	4964	35
134	88	1628	14528	25
135	167	805	17122	139
136	166	805	16888	129
137	169	806	16361	129
138	355	1096	9131	40
