index	center_x	center_y	area	snakeiterations
0	1034	1073	3538	17
1	1022	49	1700	12
2	1037	235	3084	12
3	998	708	3797	13
4	1006	386	14734	26
5	946	437	2577	14
6	967	1427	14826	30
7	972	114	13487	43
8	974	1557	20788	34
9	970	921	15586	16
10	885	1481	2365	13
11	922	769	12487	23
12	913	244	17631	39
13	904	1712	20249	34
14	884	659	10681	30
15	858	1824	2486	15
16	897	1292	19209	37
17	913	1012	24184	32
18	850	1398	9162	9
19	828	271	5105	30
20	859	376	15706	34
21	819	1190	8506	50
22	830	1569	6555	22
23	793	901	3643	12
24	786	1266	2220	12
25	811	122	14956	29
26	758	211	2981	13
27	756	716	2214	19
28	779	798	9677	24
29	768	1665	6880	37
30	781	1747	6727	32
31	753	271	4447	14
32	758	1418	4526	14
33	756	1502	18156	32
34	693	135	4977	9
35	715	1336	17884	29
36	684	1819	5298	20
37	698	854	16450	28
38	705	1092	20027	27
39	674	1206	15564	17
40	701	585	17218	19
41	659	644	7212	17
42	701	321	18569	43
43	604	1084	3628	16
44	635	188	11569	23
45	629	431	12214	27
46	636	729	13495	33
47	561	1014	2592	15
48	534	1335	3259	10
49	530	356	3869	10
50	566	1729	19063	20
51	552	1435	11986	23
52	504	1614	9368	22
53	528	905	16654	16
54	509	282	8000	26
55	489	1806	4724	16
56	483	177	12644	22
57	436	1723	11838	17
58	491	628	22540	22
59	425	1543	12451	19
60	456	1252	13856	15
61	395	1629	4116	14
62	480	446	20218	28
63	430	1092	22485	18
64	388	1173	5501	13
65	357	1687	3661	14
66	368	874	16688	28
67	332	1000	3388	17
68	429	533	13647	17
69	356	223	7198	15
70	305	1107	10096	13
71	316	1472	14798	17
72	376	1300	23481	21
73	266	1182	2976	16
74	336	1779	11594	14
75	299	1578	9539	15
76	299	109	12981	34
77	280	381	3910	18
78	269	1691	11257	15
79	264	895	14395	23
80	320	299	38260	23
81	217	1404	15560	21
82	222	1006	15836	21
83	178	1599	9380	39
84	132	689	8075	16
85	157	1126	13250	19
86	124	1327	538	13
87	144	1366	441	1
88	123	1500	6879	16
89	131	1257	13103	23
90	103	1386	7145	36
91	88	628	4410	10
92	38	1332	1730	14
93	45	1182	2874	13
94	102	418	14725	24
95	34	1474	1120	29
