index	center_x	center_y	area	snakeiterations
0	1050	816	1848	20
1	1029	1785	1135	13
2	1024	607	5181	22
3	998	141	10285	26
4	1002	526	8310	16
5	982	1212	6634	23
6	996	416	11070	29
7	951	602	2937	14
8	970	1531	10325	20
9	929	1476	568	11
10	973	1457	3125	43
11	976	686	7462	11
12	955	1775	8268	15
13	968	1108	11456	15
14	972	999	12842	23
15	950	304	13350	17
16	931	1657	5277	23
17	899	1722	3094	9
18	897	1167	3024	11
19	883	964	2779	15
20	889	1227	4380	13
21	901	429	5822	20
22	882	1550	2735	16
23	900	553	6144	25
24	862	358	3347	12
25	855	1780	4272	8
26	868	638	13532	17
27	851	233	7295	21
28	842	1107	6568	13
29	838	468	10602	17
30	820	1879	3401	9
31	822	291	4538	17
32	831	1034	6330	13
33	823	1674	11195	19
34	797	971	5813	17
35	844	1466	16948	21
36	788	375	3541	12
37	845	1594	8732	23
38	769	584	3288	14
39	759	1438	4579	20
40	734	972	1549	9
41	778	693	12459	27
42	758	1765	10414	10
43	729	1653	5071	11
44	706	1502	2789	19
45	699	466	3299	13
46	736	130	8385	14
47	715	1049	5834	7
48	741	1223	12121	16
49	745	1145	15781	15
50	725	293	12712	21
51	668	1685	4051	9
52	696	523	6912	21
53	705	397	12645	11
54	666	970	9779	13
55	655	652	14104	14
56	661	1418	8579	22
57	616	1215	3170	14
58	613	91	2857	12
59	624	410	5910	22
60	667	173	13703	15
61	618	1057	3887	10
62	610	1145	4646	13
63	583	638	2753	14
64	570	575	2989	19
65	560	428	2741	12
66	578	499	9572	13
67	560	1585	10497	15
68	602	1751	16734	22
69	530	1407	5910	20
70	562	1489	12403	15
71	546	971	17472	19
72	487	1875	3558	7
73	482	896	4465	17
74	476	1625	7471	8
75	500	650	15970	22
76	473	534	7214	15
77	439	1460	3806	9
78	505	1175	12484	19
79	439	1542	3904	8
80	477	1079	16035	20
81	402	621	3488	11
82	402	1305	14265	18
83	389	1637	10168	17
84	370	1455	5269	12
85	371	537	7408	15
86	354	969	4023	10
87	352	736	4576	13
88	343	1059	10790	20
89	382	900	20707	17
90	333	1566	7368	15
91	293	1629	3041	13
92	315	80	9526	15
93	284	1736	3558	13
94	285	1265	5120	19
95	259	881	4648	19
96	269	1342	9357	14
97	294	584	12891	17
98	254	976	9238	24
99	237	1860	3950	26
100	250	693	15842	10
101	274	1493	11109	30
102	193	1249	2298	9
103	235	1148	17345	23
104	176	738	3904	14
105	191	1701	7974	19
106	167	1047	3165	17
107	199	1562	7534	11
108	163	1310	4316	17
109	189	153	13052	11
110	158	331	6176	18
111	122	108	4572	15
112	157	893	12941	15
113	151	1809	10738	28
114	86	276	1909	11
115	130	626	13289	14
116	118	1396	12189	13
117	66	347	6583	27
118	72	706	14069	17
119	77	1677	11020	49
120	50	1325	4922	8
121	125	1475	7352	177
122	125	1475	7368	77
123	159	1478	3287	63
124	234	1433	3856	25
125	240	1783	1167	25
126	448	1789	33358	0
127	301	1681	1730	37
128	315	1690	677	23
129	319	1690	617	13
130	454	1704	2033	37
131	520	1682	2006	35
132	520	1682	1952	59
133	529	1679	2635	77
134	625	1642	4998	67
135	625	1642	4995	87
136	697	1562	7085	39
137	1005	1839	3708	55
