index	center_x	center_y	area	snakeiterations
0	1001	1582	5554	14
1	1005	872	12968	19
2	976	1711	3961	9
3	1008	688	12283	22
4	966	772	6210	22
5	957	1223	3310	19
6	962	590	8832	19
7	926	1396	4063	12
8	952	1110	14633	23
9	894	1189	4146	18
10	938	1302	13150	15
11	939	1510	13517	20
12	900	484	6783	19
13	901	867	11748	18
14	902	1834	12222	13
15	878	91	6329	13
16	893	1726	13442	16
17	854	1258	3313	17
18	893	201	12507	19
19	879	1610	12967	16
20	869	402	12139	15
21	845	1049	11136	25
22	847	1422	10759	21
23	827	1158	7520	19
24	835	668	11224	21
25	802	1802	3821	15
26	863	755	17020	17
27	833	539	13471	17
28	803	869	4174	11
29	835	306	12423	27
30	772	248	5737	22
31	781	1681	12447	16
32	785	1523	11972	18
33	794	1326	10667	20
34	738	818	4140	18
35	781	141	13580	20
36	722	69	3505	15
37	758	381	9522	15
38	719	1561	3344	15
39	754	1217	13457	23
40	737	1078	14766	20
41	744	683	16652	16
42	696	1650	7722	13
43	691	645	6739	18
44	716	1410	14728	21
45	665	166	3423	11
46	674	1270	9383	24
47	692	258	13298	21
48	699	1775	15126	31
49	686	541	14213	17
50	627	1696	2886	12
51	675	431	15444	16
52	631	1153	8838	21
53	623	344	4355	13
54	641	1483	10130	18
55	611	1292	4461	9
56	617	1580	13583	20
57	611	696	14078	22
58	616	1009	13441	25
59	591	214	13805	21
60	619	85	14269	19
61	584	1387	12715	38
62	586	905	13089	40
63	553	1080	3861	17
64	567	550	14714	21
65	544	744	4432	42
66	521	1006	2250	13
67	523	667	4121	14
68	538	342	16691	16
69	542	1201	17697	25
70	490	119	5290	11
71	461	328	4436	13
72	475	584	4592	10
73	460	1238	4780	14
74	480	1766	11866	33
75	474	1070	9831	16
76	424	1305	2259	11
77	479	457	15155	17
78	468	867	14064	19
79	463	1648	11966	20
80	462	1370	14022	15
81	457	204	14768	12
82	405	1239	2240	11
83	399	522	11797	18
84	430	671	15202	56
85	419	960	13409	16
86	395	1105	15658	17
87	365	818	10406	22
88	375	1778	12543	20
89	338	666	2794	33
90	378	315	16422	17
91	330	733	2199	23
92	327	1704	5423	13
93	359	1596	14060	23
94	352	1310	11846	13
95	375	65	16421	21
96	334	165	10616	10
97	321	518	15075	13
98	325	1167	13679	14
99	298	1042	4492	16
100	309	949	8834	18
101	283	806	12461	18
102	299	358	11331	24
103	272	1551	6133	10
104	261	540	3283	12
105	279	1838	7331	13
106	263	1253	2605	11
107	279	1356	10881	55
108	247	77	5419	12
109	213	1680	2123	8
110	243	1626	5364	14
111	250	201	14832	12
112	202	1878	1206	24
113	234	1131	12240	9
114	224	434	11553	13
115	218	967	12978	16
116	180	1175	2739	10
117	218	589	13189	24
118	193	1271	9250	25
119	225	1758	16708	15
120	191	1492	13918	35
121	195	825	12274	10
122	153	1835	1302	15
123	192	687	12030	11
124	165	193	5538	14
125	147	1575	4821	17
126	178	305	12737	13
127	134	904	4428	13
128	145	1679	10537	23
129	136	435	10057	14
130	105	1809	4514	13
131	132	1012	11329	13
132	84	636	4375	15
133	111	557	9440	19
134	87	144	4109	9
135	113	1410	15811	21
136	110	727	10194	13
137	66	945	5388	15
138	83	338	6533	9
139	102	1117	14934	19
140	59	466	6677	17
141	45	1495	3374	17
142	74	237	11703	15
143	39	1363	10804	19
