index	center_x	center_y	area	snakeiterations
0	1033	763	3870	17
1	1020	181	2363	24
2	1011	1724	1925	18
3	1001	131	2407	10
4	1000	256	4141	22
5	1008	379	8031	30
6	979	504	5477	15
7	971	1710	3897	14
8	962	1306	1640	10
9	978	1214	14236	14
10	982	620	18196	29
11	932	448	5206	23
12	920	1882	2535	13
13	969	1109	11985	23
14	938	192	6733	36
15	949	776	14633	23
16	933	1632	14602	21
17	892	1206	1624	19
18	916	1463	9520	14
19	904	1774	6901	15
20	905	326	16269	28
21	938	978	16309	24
22	869	1413	5082	12
23	856	1084	4296	19
24	864	756	6710	18
25	886	913	14039	20
26	880	548	14049	23
27	832	856	4736	11
28	841	657	9455	17
29	838	1282	10850	51
30	792	1374	6305	37
31	786	1044	5404	9
32	811	1562	17984	20
33	791	1738	11290	15
34	751	890	1705	11
35	768	958	9604	25
36	732	1855	1682	12
37	773	766	14928	18
38	729	1249	3969	17
39	767	1154	16413	17
40	739	151	11212	21
41	748	1477	11955	13
42	740	259	10423	14
43	695	865	8580	29
44	697	497	14555	28
45	677	64	4535	17
46	671	1099	12039	15
47	642	1198	4287	9
48	694	368	16978	28
49	677	1651	19513	21
50	636	1567	4637	21
51	625	444	1872	18
52	667	1814	15666	22
53	644	1287	12295	15
54	661	1450	15332	59
55	662	1450	15437	193
56	648	986	15887	33
57	620	285	10570	25
58	639	658	14332	29
59	574	1561	1857	14
60	598	606	6165	11
61	613	176	14299	13
62	563	413	4390	8
63	551	1864	3825	14
64	566	1114	9146	14
65	538	254	3287	13
66	537	877	5416	19
67	550	1651	10510	12
68	548	1358	12447	10
69	553	1751	10340	22
70	519	694	1784	9
71	562	534	14722	20
72	509	488	4298	13
73	479	1429	3395	13
74	539	776	17853	25
75	523	1229	15551	35
76	446	743	1807	12
77	503	363	14104	28
78	468	640	12337	19
79	464	173	14375	31
80	443	1343	9911	20
81	448	922	14576	92
82	448	922	14578	129
83	432	513	13501	23
84	417	1078	17481	21
85	405	309	8757	19
86	368	632	1976	17
87	399	830	9094	13
88	417	1590	14081	35
89	369	177	9385	18
90	346	284	4073	15
91	383	1471	13873	20
92	344	1224	4341	11
93	364	1834	10374	18
94	362	732	16212	22
95	368	1718	14872	15
96	328	892	6996	14
97	290	296	2866	10
98	296	1667	5103	13
99	275	730	1821	18
100	325	1018	12040	16
101	283	1303	4205	9
102	313	604	15506	25
103	314	404	12862	31
104	263	1246	5171	9
105	288	179	14526	24
106	252	494	7446	14
107	240	831	14265	15
108	206	580	2244	12
109	194	460	1998	13
110	271	1146	17029	25
111	196	1322	2427	9
112	222	1737	9350	15
113	189	1526	3578	14
114	215	1406	14571	26
115	236	982	15992	22
116	213	358	14199	30
117	205	726	8711	14
118	167	958	3707	12
119	152	1805	2097	10
120	153	889	4311	11
121	129	1068	1351	7
122	154	155	12895	50
123	146	520	11989	21
124	154	1265	14112	16
125	125	1385	4711	16
126	109	49	2843	14
127	115	825	8718	14
128	118	657	12853	26
129	94	264	3142	15
130	111	1504	10273	11
131	112	1612	14894	21
132	61	1341	4536	9
133	78	955	10885	40
134	894	1332	2871	41
