index	center_x	center_y	area	snakeiterations
0	1044	1384	1884	12
1	1021	1196	1885	9
2	1031	733	8050	32
3	997	547	2511	23
4	1021	1722	4195	89
5	1024	1721	3839	59
6	1024	1721	3841	111
7	1020	1142	3976	13
8	1011	396	7671	33
9	997	1424	4529	17
10	1010	1595	5860	65
11	1011	1595	5839	89
12	985	466	2690	13
13	993	910	2424	9
14	988	207	5534	35
15	975	1800	1705	11
16	961	1687	923	11
17	964	763	2157	25
18	984	50	5807	25
19	970	1279	8931	27
20	954	1200	4061	23
21	953	302	8000	59
22	928	1426	2141	7
23	921	1562	1080	29
24	946	1560	2565	45
25	948	1559	2679	89
26	960	1087	7731	33
27	910	1598	1750	7
28	931	846	9689	33
29	891	1035	843	17
30	909	1013	929	19
31	934	1755	6395	23
32	902	1378	3439	16
33	926	549	10299	36
34	919	109	9830	35
35	877	1178	2169	13
36	875	611	2177	13
37	889	754	7656	34
38	894	420	10293	25
39	891	198	5187	17
40	884	1127	7395	63
41	877	497	3541	24
42	845	1070	2251	27
43	852	668	3787	36
44	894	664	8477	137
45	863	286	7695	37
46	865	1246	7598	35
47	834	369	3285	19
48	844	1829	9014	19
49	818	1359	3243	22
50	841	996	7266	50
51	811	443	2437	67
52	820	460	1526	19
53	816	247	3094	19
54	832	1570	6748	52
55	792	1790	2043	21
56	790	1732	3202	32
57	826	1428	7869	26
58	802	572	8836	52
59	771	171	2493	54
60	772	172	2409	75
61	762	230	2523	6
62	765	1861	1660	16
63	769	1854	1806	49
64	784	1197	7726	26
65	773	1060	4798	32
66	756	339	10208	43
67	750	1142	7118	49
68	744	485	9664	26
69	724	1014	1715	12
70	755	730	4055	23
71	754	955	9500	29
72	698	1468	1537	13
73	731	1349	8839	29
74	697	204	1796	16
75	747	806	9392	131
76	746	809	8566	93
77	716	410	3738	60
78	716	410	3728	77
79	694	142	1521	25
80	689	902	2283	21
81	713	1828	5482	17
82	684	807	2719	16
83	679	1148	3694	37
84	690	653	8699	28
85	646	587	203	1
86	671	580	1157	15
87	705	1740	10754	32
88	665	307	9274	27
89	637	685	1415	9
90	638	512	6486	31
91	666	1611	6257	43
92	629	1791	2247	12
93	617	421	1484	21
94	657	1084	10178	21
95	630	157	9956	20
96	626	1839	4477	61
97	640	1436	6452	33
98	603	1580	3095	23
99	618	1015	8090	109
100	619	1015	8148	59
101	617	923	6402	49
102	598	1886	3804	10
103	567	1831	1086	8
104	579	542	8003	35
105	568	1445	3938	17
106	577	644	7429	35
107	561	977	2838	11
108	552	1385	1976	15
109	538	1159	760	9
110	551	1564	1858	11
111	526	1813	1133	10
112	562	1332	5872	31
113	545	114	2794	12
114	585	753	16786	143
115	625	760	7783	27
116	538	350	3477	14
117	533	52	5973	30
118	546	1627	4152	36
119	531	178	6312	74
120	531	179	6399	43
121	502	1426	3229	21
122	494	1835	1568	21
123	505	281	9358	27
124	494	1588	2620	15
125	496	1716	3304	71
126	530	1736	5458	107
127	599	1725	1031	15
128	604	1713	555	24
129	490	1165	5259	54
130	476	494	1804	13
131	488	423	7814	25
132	446	211	281	15
133	471	204	661	13
134	498	925	7744	40
135	438	1754	1396	14
136	476	1772	1365	22
137	457	365	2178	24
138	443	680	3632	29
139	441	1806	2500	27
140	462	1356	7223	27
141	466	1879	4227	41
142	453	571	10309	32
143	440	1092	5201	32
144	432	1627	3303	19
145	434	1428	4117	22
146	418	1159	1424	10
147	423	268	5614	21
148	417	337	1496	13
149	411	1260	1771	17
150	408	446	3357	18
151	413	1039	2587	24
152	397	624	3030	31
153	429	1551	8465	27
154	416	80	7383	36
155	381	1003	2053	39
156	373	162	7669	21
157	359	23	1160	19
158	356	253	4525	36
159	349	649	8868	140
160	336	572	1706	47
161	340	619	5127	95
162	352	661	7743	59
163	355	1410	7629	23
164	346	1113	5591	71
165	350	1105	6926	109
166	347	1114	5729	117
167	364	515	7195	25
168	357	1737	8191	21
169	337	1265	4048	5
170	340	1805	2943	15
171	352	346	8030	33
172	321	1206	2615	9
173	319	974	4928	52
174	337	1591	8645	39
175	325	426	8473	37
176	298	1041	3326	21
177	287	1681	2382	7
178	271	268	3725	15
179	275	1419	3608	30
180	273	172	9332	33
181	255	1269	5448	22
182	262	53	6353	60
183	237	108	2379	30
184	228	609	2577	15
185	196	1694	534	13
186	219	1677	1755	27
187	249	1750	10168	22
188	227	1086	4714	42
189	210	1230	1828	7
190	212	786	4233	50
191	259	833	3390	54
192	195	547	7077	23
193	191	484	2097	16
194	177	1539	2432	15
195	166	1288	5649	44
196	200	1190	6549	111
197	203	1189	6747	99
198	201	1190	6439	127
199	247	1192	2559	49
200	144	251	1393	16
201	192	676	10866	38
202	163	430	7720	21
203	147	988	6038	27
204	146	1471	7996	52
205	151	332	8368	28
206	149	1652	6418	37
207	116	1885	1695	34
208	110	70	2157	17
209	104	247	1589	7
210	109	172	6271	30
211	97	958	2282	23
212	123	817	1864	11
213	87	411	2973	13
214	89	312	2885	13
215	108	575	8635	27
216	107	881	7382	27
217	71	1434	1825	30
218	88	1216	3326	86
219	92	1215	3057	47
220	81	1293	8412	39
221	58	223	2094	26
222	64	690	5794	34
223	94	762	10428	73
224	94	762	10428	95
225	71	491	6355	29
226	64	1044	7288	37
227	55	1512	6105	17
