index	center_x	center_y	area	snakeiterations
0	1025	360	4987	15
1	1005	616	2745	10
2	1008	1164	6610	19
3	965	396	3373	11
4	1000	1463	11281	21
5	976	707	10840	29
6	951	812	4475	12
7	980	1379	10312	6
8	927	571	6937	11
9	930	1632	15563	13
10	909	1805	7781	19
11	897	1499	5516	13
12	925	216	13350	15
13	1013	154	2176	21
14	906	913	10542	11
15	856	1442	5514	19
16	852	966	5594	9
17	843	1553	6163	67
18	812	1586	114	6
19	881	1277	18093	18
20	929	1201	6251	32
21	840	692	12919	10
22	840	1774	8844	195
23	879	1745	9070	103
24	874	1703	1872	31
25	975	1753	4148	23
26	812	1643	6132	13
27	820	1066	17186	11
28	794	1713	5755	22
29	771	803	3900	12
30	779	613	3600	11
31	803	1847	12666	11
32	764	916	4909	11
33	754	232	9625	19
34	854	177	8457	14
35	823	248	2563	26
36	757	1559	6263	17
37	764	1468	7717	9
38	737	1148	5927	15
39	687	1517	1765	25
40	714	1604	3361	23
41	718	393	12842	17
42	800	324	7092	25
43	686	298	4393	17
44	700	1773	9383	15
45	694	1667	8940	12
46	691	831	5599	9
47	691	1049	9893	14
48	664	939	12116	11
49	662	588	17826	18
50	629	1555	8040	10
51	603	1625	1956	36
52	590	1861	2156	29
53	597	1881	280	17
54	573	918	5361	13
55	609	1199	20671	23
56	581	1724	17371	21
57	854	812	11362	47
58	522	326	3436	21
59	538	1594	5481	14
60	561	805	10695	16
61	659	762	8442	26
62	548	1068	13229	22
63	529	682	10987	27
64	536	505	7198	22
65	456	310	5900	23
66	469	1158	6712	11
67	446	584	3751	11
68	475	1498	14922	13
69	445	1062	5779	13
70	457	1718	16019	9
71	402	173	6093	33
72	377	1575	5883	12
73	382	1009	4112	13
74	392	1837	7087	14
75	374	529	5804	11
76	347	1482	6680	12
77	316	1752	5313	8
78	312	1348	5940	16
79	303	967	4840	12
80	281	1191	3597	13
81	287	366	3871	15
82	247	1827	8505	8
83	241	810	20347	38
84	237	850	12612	0
85	244	791	16814	0
86	214	1169	4869	17
87	204	960	4604	19
88	222	1274	11998	12
89	233	514	14507	18
90	150	611	2891	18
91	150	1126	6891	10
92	136	236	3759	15
93	148	791	6198	9
94	134	1266	5438	15
95	152	688	14488	14
96	130	1696	10205	23
97	271	1648	48776	132
98	246	1472	5027	23
99	418	1609	25632	0
100	621	1439	37778	0
101	637	1423	36634	0
102	635	1428	33918	0
103	112	1599	6048	17
104	133	1459	22360	17
105	133	417	11578	29
106	190	320	16359	25
107	312	438	10910	17
108	94	137	14680	33
109	90	1043	4383	17
110	75	299	7575	11
111	151	1018	15459	131
112	156	1023	16194	147
113	333	1094	17711	27
114	674	1327	88564	0
115	880	1121	27149	0
116	1001	875	3410	25
117	64	571	9823	13
118	75	1547	1502	26
119	194	1619	8005	0
120	211	1633	10263	0
121	358	1263	14827	17
122	298	1406	12607	0
123	99	505	1554	68
124	333	629	14076	35
125	396	803	27038	35
126	472	925	16177	44
127	439	654	6663	18
128	473	407	12330	33
129	505	119	13356	51
130	486	212	2747	17
131	531	582	6975	32
132	527	200	630	18
133	604	378	13348	29
134	738	694	8293	27
