index	center_x	center_y	area	snakeiterations
0	990	702	6685	14
1	999	513	9940	21
2	1009	932	12843	19
3	979	1262	8181	17
4	980	1543	8135	15
5	981	297	7413	20
6	979	1668	11820	15
7	959	1152	4842	55
8	923	352	11893	36
9	961	431	1935	60
10	961	431	1935	65
11	942	848	14573	15
12	884	1122	2944	22
13	909	570	16728	29
14	897	703	12714	25
15	886	1577	14719	25
16	851	808	9282	16
17	864	450	12227	27
18	873	1230	12697	23
19	900	1346	13606	32
20	813	336	11392	23
21	829	1043	14310	15
22	770	511	13778	19
23	787	1528	9334	13
24	809	1745	14502	27
25	753	1662	8475	15
26	776	1205	12747	21
27	751	1356	13115	24
28	703	1097	703	23
29	731	1066	2991	22
30	696	1160	3013	17
31	693	532	5457	15
32	719	975	13331	15
33	738	769	17740	25
34	707	393	14707	19
35	672	1664	15204	15
36	622	1755	1215	24
37	638	685	7644	20
38	651	1844	12365	23
39	643	1103	6709	23
40	644	134	12399	31
41	614	451	11877	23
42	620	911	14740	15
43	613	1036	5812	15
44	649	1322	15575	57
45	604	1225	15928	27
46	575	1734	3260	13
47	564	1127	4181	15
48	545	574	13569	71
49	547	603	19069	175
50	642	577	6645	57
51	778	648	14539	31
52	541	191	13210	30
53	523	845	14629	11
54	531	1567	18274	15
55	514	1685	10546	16
56	508	1309	8126	12
57	494	1182	13024	17
58	513	990	14670	17
59	432	1126	2042	18
60	489	441	15150	20
61	443	168	12469	22
62	442	159	12581	165
63	435	541	11943	21
64	449	659	9785	21
65	386	1100	2376	9
66	433	1767	16785	15
67	407	955	11477	17
68	396	835	14761	19
69	371	1652	16538	23
70	390	1526	13870	17
71	352	1394	9886	18
72	362	268	14377	23
73	371	1183	17340	21
74	345	93	16479	27
75	320	494	8479	17
76	332	605	16204	25
77	262	1028	1096	18
78	308	1021	1027	15
79	380	1043	5341	19
80	287	788	10641	20
81	275	1655	12686	14
82	279	1091	7082	19
83	280	919	18085	17
84	230	328	17464	42
85	233	333	16397	169
86	253	191	16915	21
87	273	1228	19317	39
88	573	1432	43301	51
89	854	1438	6488	29
90	208	571	13415	23
91	217	1547	15427	19
92	190	100	11547	13
93	168	1663	11084	14
94	143	1127	5147	57
95	188	1105	3123	17
96	173	1777	16397	39
97	132	1361	6151	21
98	249	1381	13879	29
99	150	1026	14883	13
100	95	1823	4099	13
101	116	253	12737	15
102	95	1186	2823	15
103	132	1496	5291	24
104	267	1468	2555	16
105	91	472	15935	29
106	181	1280	14123	18
107	166	913	11328	35
108	108	628	17414	42
109	166	803	9631	35
110	203	737	3336	109
111	203	736	3168	27
112	338	711	10453	39
113	438	733	2629	53
114	460	739	4702	77
115	533	740	4910	41
116	758	886	3777	55
117	927	1005	15743	35
118	173	44	3553	64
