index	center_x	center_y	area	snakeiterations
0	1030	418	221	5
1	1062	452	442	16
2	1023	197	1677	23
3	1016	73	4457	55
4	1024	144	478	13
5	1003	757	8971	17
6	996	268	9059	17
7	977	1818	10677	21
8	973	1370	13621	18
9	965	121	8922	13
10	997	953	11238	15
11	967	400	4954	15
12	943	1508	8489	12
13	947	879	12000	25
14	905	1297	8124	11
15	894	200	10351	15
16	901	788	11912	19
17	882	481	9543	25
18	915	592	15199	21
19	910	689	10793	13
20	895	352	15152	21
21	844	1320	3846	16
22	814	426	578	10
23	833	1765	2597	9
24	861	1409	11871	15
25	825	1003	11295	17
26	801	892	8714	27
27	801	216	14240	27
28	768	509	9682	21
29	776	1281	13595	15
30	754	783	12716	17
31	755	1835	10296	18
32	754	618	12146	20
33	746	109	11324	21
34	719	926	11184	33
35	729	1068	11495	21
36	795	1177	9747	25
37	822	1099	4113	23
38	905	1105	11054	39
39	928	1206	8836	25
40	733	399	14713	35
41	694	1224	7620	25
42	705	256	12409	23
43	699	1766	10551	11
44	695	1625	11893	19
45	787	1699	7851	13
46	678	696	12398	19
47	657	500	10274	33
48	624	177	9675	17
49	624	1532	8237	31
50	636	325	10433	13
51	638	1133	11541	21
52	623	1695	11164	21
53	628	788	13140	27
54	613	1022	11987	43
55	609	592	15361	21
56	593	887	14165	15
57	559	1582	7921	15
58	571	388	13721	25
59	533	1819	2243	15
60	555	1447	10603	25
61	525	736	10670	13
62	530	218	14724	17
63	520	635	8168	12
64	513	512	12395	26
65	493	94	10100	15
66	474	868	10579	53
67	456	428	13455	17
68	438	1668	11263	19
69	433	739	12873	29
70	445	1786	13518	15
71	420	1377	12617	13
72	429	219	13555	19
73	403	318	10558	13
74	397	587	10411	15
75	385	1524	11506	15
76	344	365	9675	15
77	321	171	10738	15
78	309	925	3988	35
79	356	1249	15080	23
80	328	1336	7098	9
81	332	1721	11218	13
82	322	466	18210	39
83	329	1146	13323	33
84	281	1561	3992	9
85	273	1070	12718	15
86	253	796	16684	32
87	297	1622	15483	17
88	220	1791	7516	14
89	223	132	11769	13
90	205	1697	9835	15
91	258	1387	26757	21
92	228	1213	10129	23
93	166	670	5159	11
94	141	1388	2987	9
95	153	798	11552	15
96	136	1832	3085	15
97	128	1222	11485	17
98	137	1073	16980	15
99	110	1767	8314	11
100	82	885	14762	47
101	208	922	13156	49
102	527	977	9650	39
103	625	1832	4046	13
104	121	547	13838	21
105	80	707	13827	19
106	105	1648	15856	17
107	63	421	12492	17
108	56	1396	6905	8
109	52	589	6401	10
110	138	1495	12379	26
111	225	1499	11049	21
